# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
li lun ji chu 	理論基礎	c=1 d=1 t=21618
li lun shang 	理論上	c=1 d=1 t=14157
li lun ti xi 	理論體系	c=2 d=1 t=21614
li lun you shi 	理論優勢	c=1 d=1 t=20918
li lun yuan ze 	理論原則	c=1 d=1 t=21631
li lun zi xin 	理論自信	c=1 d=1 t=15692
li mian 	裏面	c=18 d=1.00002 t=25761
li ming 	黎明	c=2 d=1.99005 t=8788
li nian 	理念	c=7 d=1.04991 t=21689
li pai 	立牌	c=1 d=1 t=18250
li pin 	禮品	c=0 d=0.1 t=2593
li pin ka 	禮品卡	c=1 d=1 t=2594
li pu 	離譜	c=3 d=1 t=18638
li qi lai 	立起來	c=0 d=0.1 t=15305
li qing 	理清	c=1 d=1 t=16413
li ren 	麗人	c=0 d=0.1 t=7925
li ru 	例如	c=2 d=1.0534 t=11675
li shen 	立身	c=0 d=0.1 t=20675
li shen zhi ben 	立身之本	c=1 d=1 t=20676
li shi 	歷史	c=11 d=0.143538 t=21818
li shi dao lu 	歷史道路	c=1 d=1 t=21413
li shi de 	歷史的	c=1 d=1 t=20432
li shi di wei 	歷史地位	c=1 d=1 t=20192
li shi di wei 	裏史迪威	c=1 d=1 t=15117
li shi gao lv 	裏石膏旅	c=1 d=1 t=7237
li shi gui lv 	歷史規律	c=1 d=1 t=7238
li shi jie duan 	歷史階段	c=2 d=1.83946 t=20141
li shi jie lun 	歷史結論	c=1 d=1 t=21819
li shi jing yan 	歷史經驗	c=1 d=1 t=14257
li shi ren wu 	歷史人物	c=2 d=1 t=19933
li shi shang 	歷史上	c=3 d=1.94181 t=14823
li shi shi ming 	歷史使命	c=1 d=1 t=21381
li shi wen ti 	歷史問題	c=0 d=0.1 t=15249
li shi xing 	歷史性	c=3 d=1.00096 t=21547
li shi yi ju 	歷史依據	c=1 d=1 t=20144
li xiang 	理想	c=1 d=0.221238 t=21890
li xing 	理性	c=1 d=1 t=12260
li yi 	利益	c=3 d=1.18278 t=21529
li yong 	利用	c=1 d=1 t=6149
li you 	理由	c=3 d=1.00016 t=9605
li yun 	李雲	c=0 d=0.1 t=23940
li yun di 	李雲迪	c=3 d=2.95064 t=23947
li zi 	李子	c=0 d=0.1 t=2911
li zi 	栗子	c=0 d=0.1 t=7938
li zi yuan 	李子園	c=1 d=1 t=2912
li zu dian 	立足點	c=1 d=1 t=21813
lia 	倆	c=1 d=1 t=6562
lian 	練	c=3 d=1.66034 t=18947
lian 	臉	c=0 d=0.1 t=25970
lian 	連	c=8 d=1.96574 t=26454
lian 	鏈	c=0 d=0.1 t=12295
lian biao 	鏈表	c=11 d=8.60236 t=18046
lian bu shang 	連不上	c=1 d=1 t=2248
lian dong 	聯動	c=5 d=2.898 t=18533
lian dong guo 	聯動過	c=1 d=1 t=13700
lian he 	聯合	c=4 d=0.1 t=21348
lian he zhan xian 	聯合戰線	c=1 d=1 t=21285
lian ji 	練級	c=0 d=0.1 t=3201
lian ji 	連擊	c=3 d=1.99048 t=13551
lian ji feng 	練級風	c=1 d=1 t=3202
lian jie 	聯接	c=2 d=1.96561 t=4694
lian jie 	鏈接	c=6 d=1 t=22337
lian jie de 	連接的	c=1 d=1 t=6616
lian jin 	鍊金	c=1 d=1 t=19012
lian jin shu 	鍊金術	c=1 d=1 t=889
lian jin shu shi 	鍊金術士	c=1 d=1 t=873
lian ru 	煉乳	c=1 d=1 t=23170
lian shang 	連上	c=1 d=1 t=12976
lian suo 	連鎖	c=10 d=1 t=12698
lian tong 	聯通	c=1 d=1.07906 t=12968
lian tong xing 	聯通星	c=1 d=1 t=12922
lian wang 	聯網	c=0 d=0.1 t=23857
lian xi 	練習	c=1 d=1 t=25519
lian xi 	聯繫	c=4 d=0.1 t=25517
lian xi ti 	練習題	c=1 d=1 t=25792
lian xi zai 	聯繫在	c=1 d=1 t=14285
lian xiang 	聯想	c=10 d=4.52747 t=26568
lian xu 	連續	c=3 d=1.95123 t=25864
lian ye 	連夜	c=1 d=1 t=23603
lian zhe 	連着	c=1 d=1 t=19988
lian zi 	練字	c=1 d=1 t=19782
liang 	亮	c=1 d=1 t=23293
liang 	兩	c=2 d=1 t=8720
liang 	良	c=1 d=1 t=22385
liang 	量	c=1 d=1 t=24213
liang ba 	兩把	c=1 d=1 t=25866
liang bian 	量變	c=0 d=0.1 t=24313
liang bian zhi bian 	量變質變	c=1 d=1 t=24314
liang bu 	兩部	c=1 d=1 t=1134
liang ceng 	兩層	c=1 d=1 t=2781
liang ci 	兩次	c=4 d=0.501576 t=26693
liang dao 	兩刀	c=1 d=1 t=13003
liang fen 	兩分	c=2 d=1.06925 t=24606
liang ge 	兩個	c=18 d=1.04416 t=25672
liang ge ban 	兩個半	c=1 d=1 t=16518
liang ge fan shi 	兩個凡是	c=1 d=1 t=14747
liang ge fang mian 	兩個方面	c=2 d=1.90032 t=7376
liang ge ren 	兩個人	c=0 d=0.1 t=2141
liang hao de 	良好的	c=2 d=1 t=19245
liang men 	兩門	c=3 d=2.89307 t=25261
liang miao 	兩秒	c=0 d=0.1 t=18065
liang nian 	兩年	c=1 d=1 t=18557
liang tao 	兩套	c=1 d=1 t=8341
liang tian 	兩天	c=4 d=1.00253 t=24921
liang wei 	兩位	c=0 d=0.1 t=12673
liang wei yi ti 	兩位一體	c=1 d=1 t=12674
liang ye 	兩頁	c=1 d=1 t=2162
liang zhang 	兩張	c=1 d=1 t=25910
liang zhe 	亮着	c=0 d=0.1 t=6612
liang zhe de 	亮着的	c=1 d=1 t=6613
liang zhou 	兩週	c=1 d=1 t=16249
liao 	了	c=0 d=0.1 t=17285
liao 	廖	c=3 d=1.76338 t=23120
liao 	料	c=1 d=1 t=10560
liao 	聊	c=2 d=1 t=22683
liao de 	了得	c=1 d=1 t=23043
liao jie 	瞭解	c=1 d=1 t=19125
liao jie le 	瞭解了	c=1 d=1 t=6457
liao kai min 	廖開民	c=1 d=1 t=17445
liao tian 	聊天	c=3 d=1 t=22655
liao tian ji lu 	聊天記錄	c=1 d=1 t=3512
liao tian xiang 	廖天翔	c=4 d=0.486752 t=26693
liao zhe 	聊着	c=0 d=0.1 t=22666
liao zhe liao zhe 	聊着聊着	c=1 d=1 t=22667
lie 	獵	c=0 d=0.1 t=2537
lie biao 	列表	c=2 d=0.177284 t=26693
lie chu 	列出	c=1 d=1 t=4741
lie feng 	裂縫	c=1 d=1 t=18724
lie hen 	裂痕	c=0 d=0.1 t=1501
lie hen le 	裂痕了	c=1 d=1 t=1502
lie ning 	列寧	c=1 d=0.1 t=21174
lin 	林	c=0 d=0.1 t=8978
lin 	臨	c=1 d=1 t=19784
lin chuang 	臨牀	c=0 d=0.1 t=6001
lin chuang za zhi 	臨牀雜誌	c=1 d=1 t=6002
lin huo 	林火	c=0 d=0.1 t=23191
lin jie 	鄰接	c=1 d=0.686929 t=4900
lin jie biao 	鄰接表	c=2 d=1.95123 t=4910
lin jie ju zhen 	鄰接矩陣	c=2 d=1.95123 t=4911
lin shi 	臨時	c=1 d=1.0667 t=14014
ling 	嶺	c=0 d=0.1 t=989
ling 	領	c=0 d=0.1 t=24665
ling bai 	靈擺	c=6 d=4.55538 t=6597
ling bai ka 	靈擺卡	c=2 d=1.97045 t=6583
ling dang 	鈴鐺	c=1 d=1 t=18502
ling dao 	領導	c=12 d=1.00012 t=23761
ling dao de 	領導的	c=2 d=1 t=21873
ling dao di wei 	領導地位	c=1 d=1 t=21720
ling dao ren 	領導人	c=2 d=0.1 t=14812
ling dao ren min 	領導人民	c=1 d=1 t=15152
ling dao shui ping 	領導水平	c=1 d=1 t=15379
ling dao xia 	領導下	c=1 d=1 t=14240
ling dao zhe 	領導者	c=1 d=1 t=20372
ling di 	靈帝	c=0 d=0.1 t=8805
ling hun 	靈魂	c=7 d=2.09793 t=22111
ling hun jia nong pao 	靈魂加農炮	c=1 d=1 t=7037
ling hun zhi you 	靈魂摯友	c=1 d=1 t=16223
ling jia yu 	凌駕於	c=1 d=1 t=21049
ling kai 	另開	c=1 d=1 t=6680
ling le 	領了	c=1 d=1 t=13374
ling ren 	令人	c=3 d=2.96874 t=5690
ling ren jing wei de 	令人敬畏的	c=1 d=1 t=5691
ling rui 	凌睿	c=3 d=1 t=22239
ling wai 	另外	c=2 d=0.100003 t=6643
ling wai de 	另外的	c=1 d=1 t=6644
ling wai yi ge 	另外一個	c=1 d=1 t=17482
ling yi ge 	另一個	c=6 d=1.86071 t=26546
ling yi wei 	另一位	c=1 d=1 t=716
ling yu 	領域	c=2 d=1.9864 t=21372
liu 	六	c=2 d=1 t=23067
liu 	流	c=1 d=1 t=8822
liu 	留	c=1 d=1 t=25909
liu bian xing 	六邊形	c=1 d=1 t=26016
liu chang 	流暢	c=2 d=1.04243 t=23998
liu cheng 	流程	c=1 d=0.101782 t=6111
liu cheng she ji 	流程涉及	c=1 d=1 t=6112
liu dong xing 	流動性	c=1 d=1 t=21070
liu hai 	劉海	c=1 d=1 t=11312
liu han 	流汗	c=4 d=3.34726 t=4512
liu hao 	六號	c=0 d=0.1 t=26022
liu ji 	六級	c=1 d=1 t=23547
liu jie 	六屆	c=1 d=1 t=16122
liu liang 	流量	c=3 d=1 t=24439
liu liang jie chi 	流量劫持	c=1 d=1 t=12665
liu shen 	六神	c=1 d=1.07045 t=14853
liu shen lei lei 	六神磊磊	c=1 d=1 t=14854
liu shou 	留守	c=1 d=1 t=24535
liu shui xian 	流水線	c=0 d=0.1 t=5849
liu shui xian shang 	流水線上	c=1 d=1 t=5850
liu tong shou duan 	流通手段	c=1 d=1 t=20341
liu wan 	溜完	c=1 d=1 t=22765
liu yan 	留言	c=0 d=0.1 t=19568
liu yan le 	留言了	c=1 d=1 t=19569
liu yao 	劉瑤	c=2 d=1.96561 t=24053
liu yun 	流雲	c=5 d=4.46388 t=4092
liu zhong quan hui 	六中全會	c=3 d=1 t=22072
lo 	咯	c=3 d=0.38043 t=26693
long 	龍	c=8 d=1.01925 t=23171
long duan 	壟斷	c=1 d=1 t=20258
long ju 	龍狙	c=2 d=1.99501 t=5429
long ma 	龍媽	c=1 d=1 t=22820
long qi 	龍騎	c=1 d=1 t=22365
long quan 	龍泉	c=1 d=1 t=10447
long quan shan 	龍泉山	c=1 d=1 t=16330
long tou 	龍頭	c=1 d=1 t=21014
long tu 	龍圖	c=1 d=1 t=8165
long xiao ping 	龍小平	c=1 d=1 t=3114
long yue 	龍約	c=3 d=1.00239 t=19773
lou 	樓	c=2 d=1 t=10621
lou 	漏	c=2 d=1.9802 t=22360
lou dong 	漏洞	c=2 d=1 t=26408
lou wang 	漏網	c=1 d=1 t=1843
lou xia 	樓下	c=1 d=1 t=13570
lu 	擼	c=2 d=1 t=15548
lu 	路	c=3 d=1.03688 t=22480
lu 	錄	c=0 d=0.1 t=16962
lu 	露	c=1 d=1 t=22363
lu 	魯	c=1 d=1 t=25654
lu cheng 	錄成	c=1 d=1 t=3743
lu da shi 	魯大師	c=1 d=1 t=8022
lu gou qiao 	盧溝橋	c=1 d=1 t=20706
lu guo 	路過	c=2 d=1 t=4525
lu jing 	路徑	c=8 d=0.0677057 t=26693
lu le 	錄了	c=0 d=0.1 t=12436
lu le yin 	錄了音	c=1 d=1 t=12437
lu shang 	路上	c=1 d=1 t=11488
lu shi 	爐石	c=12 d=1.08353 t=16367
lu shi chuan shuo 	爐石傳說	c=3 d=2.89335 t=16347
lu wei 	魯味	c=1 d=1 t=6959
lu wei 	鹿爲	c=1 d=0.279431 t=26693
lu xian 	路線	c=7 d=2.12468 t=21936
lu xiang 	錄像	c=1 d=1 t=18555
lu yin 	錄音	c=0 d=0.1 t=12438
lu yin zhi liang 	錄音質量	c=1 d=1 t=12439
luan sha 	亂殺	c=1 d=1 t=4333
lun 	論	c=7 d=2.58164 t=21959
lun 	輪	c=1 d=1 t=10706
lun li 	倫理	c=1 d=1 t=20655
lun wen 	論文	c=2 d=1.79852 t=6166
lun zheng 	論證	c=1 d=1 t=13687
lun zhua 	輪抓	c=14 d=1.9802 t=23204
luo 	洛	c=0 d=0.0215456 t=26693
luo chuan 	洛川	c=1 d=1 t=14183
luo fu 	洛夫	c=0 d=0.1 t=720
luo fu ke la fu te 	洛夫克拉夫特	c=1 d=1 t=721
luo ji 	邏輯	c=1 d=1 t=16416
luo jiao dian 	落腳點	c=2 d=1.98511 t=20079
luo kao 	裸考	c=3 d=1 t=26388
luo li 	蘿莉	c=1 d=1 t=901
luo pai 	裸牌	c=1 d=1 t=4345
luo sen 	羅森	c=2 d=1.3413 t=13691
luo she 	落舌	c=1 d=1 t=16908
luo shi 	落石	c=2 d=1 t=15536
luo si 	蘿絲	c=1 d=1 t=5878
luo xin 	駱新	c=1 d=1 t=20022
lv 	旅	c=0 d=0.1 t=7236
lv 	率	c=1 d=1 t=12493
lv 	綠	c=1 d=1 t=8741
lv di 	綠地	c=2 d=1.8781 t=9775
lv fa 	旅法	c=2 d=1.81873 t=10687
lv fa shi 	旅法師	c=3 d=1.001 t=8222
lv li 	履歷	c=2 d=1.98511 t=17360
lv ma 	綠碼	c=1 d=1 t=3175
lv se 	綠色	c=2 d=1 t=15885
lv yun lu 	履雲錄	c=1 d=1 t=7435
lv zhou 	綠洲	c=1 d=1 t=11495
ma 	嗎	c=129 d=1.21634 t=26693
ma 	嘛	c=18 d=0.810584 t=26693
ma 	碼	c=5 d=1.01553 t=12359
ma 	罵	c=6 d=1.84267 t=10119
ma 	馬	c=10 d=0.640824 t=26693
ma 	麻	c=3 d=1.00005 t=26661
ma ci 	麻糍	c=2 d=1.94176 t=24291
ma fan 	麻煩	c=4 d=0.1 t=22435
ma ge 	罵個	c=0 d=0.1 t=3832
ma ge tu 	罵個土	c=1 d=1 t=3833
ma jiang 	麻將	c=5 d=1.31349 t=17145
ma ke si 	馬克思	c=29 d=2.74601 t=22142
ma ke si lie ning 	馬克思列寧	c=1 d=1 t=21175
ma ke si zhu yi 	馬克思主義	c=6 d=1.25685 t=21581
ma la guo 	麻辣鍋	c=1 d=1 t=10557
ma le 	罵了	c=2 d=1.97531 t=9854
ma le 	麻了	c=1 d=1 t=24249
ma lie 	馬列	c=2 d=1.01377 t=15523
ma lie zhu yi 	馬列主義	c=2 d=1.79453 t=15124
ma ma 	媽媽	c=3 d=0.722996 t=26693
ma nong 	碼農	c=1 d=1 t=25271
ma ye 	馬也	c=1 d=1 t=1579
ma yuan 	馬原	c=11 d=0.451581 t=26693
ma zhe 	馬哲	c=4 d=1.23435 t=10397
ma zheng jing 	馬政經	c=1 d=1 t=10398
mai 	買	c=13 d=0.25924 t=26693
mai 	賣	c=1 d=1 t=26458
mai bu chu 	買不出	c=1 d=1 t=4423
mai bu chu qu 	賣不出去	c=1 d=0.23457 t=26693
mai chu 	賣出	c=1 d=1 t=21102
mai chu 	邁出	c=1 d=1 t=21103
mai cuo le 	買錯了	c=1 d=1 t=3465
mai dang lao 	麥當勞	c=2 d=1 t=16160
mai de 	買的	c=5 d=0.289384 t=26693
mai de 	賣得	c=1 d=1 t=12709
mai de 	賣的	c=2 d=1.47001 t=24424
mai duan 	買斷	c=1 d=1 t=26026
mai ge 	買個	c=4 d=1 t=6231
mai jia 	買家	c=2 d=1.98511 t=3510
mai ka 	賣卡	c=1 d=1 t=4432
mai le 	買了	c=8 d=1.97966 t=24909
mai le yi ge 	買了一個	c=1 d=1 t=17624
mai mai 	買買	c=1 d=1 t=20745
mai yi ge 	買一個	c=1 d=1 t=2484
man 	慢	c=2 d=1 t=24972
man 	滿	c=2 d=0.1 t=23680
man 	蠻	c=1 d=1 t=6570
man da 	蠻大	c=0 d=0.1 t=16956
man da de 	蠻大的	c=1 d=1 t=16957
man fen 	滿分	c=1 d=1 t=20793
man ji 	滿級	c=1 d=1 t=11542
man le 	慢了	c=4 d=1.00122 t=25835
man le 	滿了	c=1 d=1 t=20798
man le dian 	慢了點	c=1 d=1 t=24955
man man 	慢慢	c=1 d=0.1 t=18907
man man mo 	慢慢磨	c=1 d=1 t=18908
man ping mu 	滿屏幕	c=1 d=1 t=23681
man po 	滿破	c=2 d=0.199005 t=7258
man po le 	滿破了	c=1 d=1 t=7257
man re 	慢熱	c=1 d=1 t=1071
man shou 	滿手	c=1 d=1 t=3140
man wei 	漫威	c=1 d=1 t=1060
man zu 	滿足	c=2 d=0.1 t=22909
man zu tiao jian 	滿足條件	c=1 d=1 t=5347
mang cai 	忙猜	c=4 d=1 t=12752
mang he 	盲盒	c=1 d=1 t=11471
mao 	毛	c=6 d=1 t=25671
mao 	貓	c=2 d=1.94649 t=23055
mao bu dao 	毛不到	c=1 d=1 t=18894
mao ce 	茅廁	c=1 d=1 t=17202
mao che 	貓車	c=1 d=1 t=21477
mao dun 	矛盾	c=6 d=2.76986 t=22058
mao dun lun 	矛盾論	c=1 d=1 t=21960
mao gai 	毛概	c=3 d=1 t=17489
mao jin 	冒進	c=0 d=0.1 t=14633
mao mao 	毛毛	c=3 d=1 t=26505
mao mao qun 	毛毛羣	c=1 d=1 t=19209
mao qu 	貓區	c=2 d=1.9802 t=24491
mao quan 	貓全	c=1 d=1 t=7023
mao qun 	毛羣	c=1 d=1 t=14876
mao rong rong 	毛絨絨	c=3 d=1.67706 t=19220
mao si xiang 	毛思想	c=2 d=1.13466 t=15526
mao xian 	冒險	c=1 d=1 t=1253
mao xian zhu yi 	冒險主義	c=1 d=1 t=14141
mao yi 	貿易	c=1 d=1 t=19916
mao yi bao hu 	貿易保護	c=1 d=1 t=19914
mao ze dong 	毛澤東	c=13 d=1.08184 t=21914
mao ze dong si xiang 	毛澤東思想	c=2 d=1.70822 t=21609
mao zhong te 	毛中特	c=7 d=3.67132 t=25750
mao zi 	帽子	c=1 d=1 t=18704
mao zi ti 	帽子題	c=1 d=1 t=10452
me 	麼	c=56 d=1.00001 t=26273
mei 	梅	c=1 d=1 t=3582
mei 	沒	c=44 d=1.38934 t=26641
mei 	美	c=1 d=1 t=1244
mei ba 	沒把	c=2 d=0.310367 t=26693
mei ban fa 	沒辦法	c=1 d=0.1 t=26133
mei bei 	沒被	c=1 d=1.00068 t=8241
mei bi yao 	沒必要	c=8 d=1.53259 t=22733
mei cha 	美差	c=0 d=0.1 t=25024
mei cha bie le 	美差別了	c=1 d=1 t=25025
mei chi 	沒喫	c=0 d=0.1 t=24213
mei chi gou 	沒喫夠	c=1 d=1 t=24214
mei chi guo 	沒喫過	c=1 d=1 t=24271
mei chou 	沒抽	c=3 d=2.87883 t=3874
mei chou dao 	沒抽到	c=1 d=1 t=13710
mei chu 	沒出	c=1 d=0.1 t=17490
mei chu wan 	沒出完	c=1 d=1 t=17491
mei chuan 	沒傳	c=1 d=1 t=1284
mei ci 	每次	c=3 d=0.398519 t=26693
mei da 	沒打	c=0 d=0.1 t=12073
mei da dao 	沒達到	c=1 d=1 t=25540
mei da le 	沒打了	c=1 d=1 t=12074
mei dao 	每到	c=1 d=1 t=24151
mei dao li 	沒道理	c=1 d=1 t=1810
mei de 	沒得	c=1 d=1 t=1160
mei dian le 	沒電了	c=3 d=1 t=17645
mei du 	沒獨	c=1 d=1 t=6309
mei duo jiu 	沒多久	c=1 d=1 t=17252
mei fa 	沒法	c=8 d=1 t=26353
mei fa 	沒發	c=0 d=0.1 t=22888
mei fa gai 	沒法改	c=1 d=1 t=18160
mei fa qu 	沒法去	c=1 d=1 t=2274
mei fa tu 	沒發圖	c=1 d=1 t=22889
mei fa wan 	沒法玩	c=3 d=1.02282 t=3899
mei fa yong 	沒法用	c=1 d=1 t=23320
mei gao dong 	沒搞懂	c=1 d=1 t=6667
mei ge 	每個	c=4 d=1.06157 t=8584
mei ge hui he 	每個回合	c=1 d=1 t=8488
mei ge ren 	每個人	c=2 d=1 t=19369
mei ge yue 	每個月	c=1 d=1 t=3448
mei gei qian 	沒給錢	c=1 d=1 t=24440
mei gui 	玫瑰	c=0 d=0.1 t=5008
mei gui en 	玫瑰恩	c=1 d=1 t=5009
mei guo 	美國	c=3 d=1 t=23797
mei guo wan 	沒過完	c=1 d=1 t=18738
mei hao sheng huo 	美好生活	c=1 d=1 t=16001
mei hua 	美化	c=1 d=1 t=26500
mei hui 	每回	c=0 d=0.1 t=8499
mei hui he 	每回合	c=1 d=1 t=8500
mei huo jiang 	沒獲獎	c=1 d=1 t=22235
mei ji 	每集	c=0 d=0.1 t=16611
mei ji cuo 	每集錯	c=1 d=1 t=16612
mei jian guo 	沒見過	c=3 d=1 t=24808
mei jin 	沒進	c=1 d=1 t=22577
mei ju 	枚舉	c=1 d=1 t=16355
mei kai 	沒開	c=3 d=1.97531 t=25096
mei kai guo 	沒開過	c=1 d=1 t=10190
mei kan 	沒看	c=3 d=1 t=25210
mei kan dong 	沒看懂	c=4 d=1 t=24281
mei kan guo 	沒看過	c=1 d=1.00004 t=24558
mei ke neng 	沒可能	c=1 d=1 t=23464
mei kong 	沒空	c=1 d=1 t=23575
mei kuai 	每塊	c=1 d=1 t=5502
mei le 	沒了	c=9 d=1.00005 t=26618
mei li 	美麗	c=1 d=1 t=16061
mei lian 	沒練	c=1 d=1 t=777
mei lie biao 	沒列表	c=1 d=1 t=24180
mei mai 	沒買	c=0 d=0.1 t=23972
mei man po 	沒滿破	c=1 d=1 t=7259
mei mei 	妹妹	c=2 d=1 t=22972
mei miao 	美妙	c=0 d=0.1 t=23123
mei miao de 	美妙的	c=0 d=0.1 t=17814
mei miao shi jie 	美妙世界	c=2 d=1.99501 t=23125
mei mo 	煤末	c=1 d=1 t=19112
mei na dao 	沒拿到	c=1 d=1 t=9449
mei na me 	沒那麼	c=0 d=0.1 t=9455
mei na me gui 	沒那麼貴	c=1 d=1 t=9456
mei nai 	沒奶	c=1 d=1 t=853
mei ne 	沒呢	c=2 d=1 t=25036
mei neng 	沒能	c=1 d=1 t=25581
mei neng li jie 	沒能理解	c=1 d=1 t=24287
mei ni 	煤泥	c=1 d=1 t=3864
mei nian 	每年	c=3 d=1 t=25381
mei nian da 	美年達	c=2 d=1.94176 t=5192
mei pai 	沒排	c=0 d=0.1 t=829
mei pai dao ren 	沒排到人	c=1 d=1 t=830
mei po 	媒婆	c=1 d=1 t=16259
mei qi guan 	煤氣罐	c=3 d=2.88194 t=13121
mei qian 	沒錢	c=2 d=1 t=23105
mei qian le 	沒錢了	c=1 d=1 t=17892
mei qing 	沒清	c=1 d=1 t=12076
mei qu 	美區	c=4 d=1 t=23115
mei qu bie 	沒區別	c=1 d=1 t=12141
mei qu de 	美區的	c=1 d=1 t=1224
mei ren 	沒人	c=4 d=1 t=16811
mei ren kan 	沒人看	c=1 d=1 t=2375
mei ren shuo 	沒人說	c=1 d=1 t=9878
mei ren yu 	美人魚	c=2 d=1.98511 t=2733
mei ri 	每日	c=4 d=1 t=25335
mei sha 	沒啥	c=9 d=1.00001 t=25904
mei sha cha bie 	沒啥差別	c=1 d=1 t=959
mei sha wen ti 	沒啥問題	c=4 d=1 t=22774
mei sha wen ti de 	沒啥問題的	c=1 d=1 t=4311
mei sha yi yi 	沒啥意義	c=2 d=1 t=23593
mei sha yong 	沒啥用	c=1 d=1 t=23546
mei sha yong le 	沒啥用了	c=1 d=1 t=22707
mei sheng 	沒聲	c=0 d=0.1 t=7471
mei sheng le 	沒聲了	c=1 d=1 t=7472
mei shi 	沒事	c=3 d=1.55711 t=19500
mei shi le 	沒事了	c=0 d=0.1 t=4275
mei shuo 	沒說	c=1 d=1 t=9843
mei si 	沒死	c=1 d=1 t=7455
mei ti 	媒體	c=1 d=1 t=18304
mei tian 	每天	c=1 d=0.50409 t=26693
mei wen ti 	沒問題	c=1 d=0.1 t=25564
mei wen ti ba 	沒問題把	c=1 d=1 t=25565
mei xi 	沒洗	c=0 d=0.1 t=24222
mei xi guo wei 	沒洗過胃	c=1 d=1 t=24223
mei xiang dao 	沒想到	c=1 d=1 t=9338
mei yi ci 	每一次	c=1 d=1 t=3332
mei yi ge 	沒一個	c=0 d=0.1 t=2382
mei yi ge ren 	沒一個人	c=1 d=1 t=2383
mei yi si 	沒意思	c=1 d=1 t=1525
mei yi wei 	每一位	c=1 d=1 t=19233
mei yin xiang 	沒印象	c=1 d=1 t=26161
mei ying xiang 	沒影響	c=1 d=1 t=8370
mei yong guo 	沒用過	c=1 d=1 t=17599
mei yong le 	沒用了	c=1 d=1 t=24981
mei you 	沒有	c=53 d=1.23168 t=26472
mei you ba 	沒有吧	c=3 d=1 t=18260
mei you ban fa 	沒有辦法	c=1 d=1 t=11808
mei you bing xue 	沒有冰雪	c=1 d=1 t=2328
mei you cai qu guo 	沒有採取過	c=1 d=1 t=13876
mei you de 	沒有的	c=2 d=1 t=25622
mei you fa xian 	沒有發現	c=0 d=0.1 t=2065
mei you fan ying 	沒有反應	c=1 d=1 t=19571
mei you le 	沒有了	c=1 d=1 t=18354
mei you na me gui 	沒有那麼貴	c=1 d=1 t=5846
mei you ren 	沒有人	c=1 d=1 t=19177
mei you zhe ge 	沒有這個	c=1 d=1 t=10439
mei you zhuan wu 	沒有專武	c=1 d=1 t=25611
mei zen me 	沒怎麼	c=4 d=0.240508 t=26693
mei zen me wan guo 	沒怎麼玩過	c=1 d=1 t=10853
mei zhao dao 	沒找到	c=1 d=1 t=10431
mei zhe me 	沒這麼	c=1 d=1 t=24205
mei zhou 	每週	c=1 d=0.499074 t=26693
mei zhu yi 	沒主意	c=1 d=1 t=2579
mei zhuan wu 	沒專武	c=2 d=1.93707 t=780
mei zhui qiu 	沒追求	c=1 d=1 t=3947
mei zi yuan 	沒資源	c=1 d=1 t=402
mei zuo 	沒做	c=1 d=1 t=25948
men 	們	c=5 d=1.07531 t=26585
men 	門	c=6 d=1.00285 t=25259
men wai 	門外	c=1 d=1 t=11946
meng 	夢	c=8 d=1 t=15942
meng 	猛	c=1 d=1 t=23908
meng 	萌	c=1 d=1 t=10183
meng gai 	夢改	c=2 d=1.25158 t=17447
meng le 	蒙了	c=0 d=0.1 t=16869
meng long 	萌朧	c=2 d=1 t=22262
meng mian 	蒙面	c=1 d=1 t=8075
meng quan 	蒙圈	c=1 d=1 t=9479
meng te lei 	蒙特雷	c=1 d=1 t=24263
meng xiang 	夢想	c=6 d=1.00023 t=23065
meng xin 	夢新	c=1 d=1 t=10181
meng zhong 	夢中	c=1 d=1 t=24188
mi 	冪	c=1 d=1 t=7908
mi 	米	c=0 d=0.1 t=5810
mi fen 	米粉	c=1 d=1 t=8272
mi ge 	米格	c=0 d=0.1 t=24584
mi gong 	迷宮	c=2 d=0.390628 t=26693
mi huo 	迷惑	c=1 d=0.100424 t=3968
mi ji 	祕籍	c=1 d=1 t=13078
mi jie 	密接	c=1 d=1 t=973
mi le 	迷了	c=0 d=0.1 t=17088
mi le yan 	迷了眼	c=1 d=1 t=17089
mi ma 	密碼	c=11 d=1.9802 t=23794
mi ma xue 	密碼學	c=1 d=1 t=2030
mi mang 	迷茫	c=1 d=1 t=11933
mi sai ya 	彌賽亞	c=1 d=1 t=14910
mi tian gong 	米田共	c=1 d=1 t=1228
mi zong 	迷蹤	c=1 d=1 t=16651
mian 	麪	c=3 d=1 t=18831
mian ban 	面板	c=2 d=1.98511 t=13410
mian dan 	免單	c=1 d=1 t=1537
mian fei 	免費	c=11 d=1 t=23277
mian fei de 	免費的	c=1 d=1 t=16731
mian fei lao dong li 	免費勞動力	c=1 d=1 t=12487
mian fei song 	免費送	c=1 d=0.1 t=23971
mian fei song le 	免費送了	c=1 d=1 t=23972
mian hua 	棉花	c=1 d=1 t=26376
mian liu 	免流	c=2 d=1.93239 t=24449
mian meng fa qiu 	眠夢法球	c=1 d=1 t=10506
